Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Cluster
Spain,2020,Bakery Items,10321.079999999998,10177.93,35.41,902.14,50.09,0
Indonesia,2019,Grains & Cereals,7894.84,8079.169999999998,23.45,430.07,62.57,0
India,2024,Prepared Food,11614.12,9959.1,75.21,1290.53,55.98,0
USA,2018,Bakery Items,40283.96,33458.98,183.93,571.85,31.75,1
China,2024,Prepared Food,12738.75,11551.29,132.52,807.33,61.92,0
Turkey,2018,Beverages,24278.95,25035.47,187.54,218.84,64.88,0
South Korea,2024,Bakery Items,24536.44,24892.3,147.49,305.21,54.25,0
Canada,2021,Prepared Food,12389.85,10564.07,175.53,348.95,56.96,0
Germany,2021,Beverages,18818.08,18033.21,181.46,635.14,55.97,0
Australia,2020,Grains & Cereals,30320.1,32226.91,30.64,675.78,41.38,1
USA,2020,Beverages,10418.23,11826.26,57.24,627.18,41.05,0
Saudi Arabia,2021,Prepared Food,13520.77,14479.32,161.71,887.31,53.37,0
Canada,2018,Beverages,2682.540000000001,3086.0699999999997,61.92,707.37,56.4,0
Mexico,2023,Grains & Cereals,47074.42,50848.46,128.51,124.8,64.75,1
USA,2021,Frozen Food,1329.4500000000007,1078.0699999999997,75.85,816.32,32.34,0
Italy,2021,Prepared Food,10144.0,10236.01,114.31,1040.3,50.05,0
Canada,2022,Frozen Food,26936.48,27192.47,93.51,193.61,33.5,1
Spain,2023,Prepared Food,47691.12,42560.6,97.16,476.43,39.74,1
Spain,2024,Beverages,11463.72,10968.53,40.79,727.11,50.16,0
Australia,2021,Bakery Items,6608.380000000001,6213.4000000000015,38.13,311.27,53.58,0
Japan,2023,Dairy Products,47354.14,37996.01,103.25,350.58,50.0,1
Brazil,2023,Prepared Food,49231.61,45743.9,43.04,971.47,39.59,1
USA,2024,Prepared Food,28293.2,27917.29,136.94,1276.82,57.11,1
Australia,2018,Dairy Products,22602.91,20190.34,83.28,1323.05,68.33,0
UK,2021,Bakery Items,15393.58,14761.96,181.57,242.72,69.69,0
Germany,2023,Beverages,29574.47,34769.68,136.65,495.08,51.01,1
Germany,2023,Beverages,6355.689999999999,6599.209999999999,37.45,821.11,30.92,0
India,2020,Beverages,17056.13,17884.77,149.27,1382.2,40.42,0
South Korea,2021,Beverages,40625.93,36992.57,39.86,883.42,52.06,1
Saudi Arabia,2019,Beverages,3365.2000000000007,3182.6500000000015,100.43,16.69,69.53,0
France,2022,Frozen Food,21759.95,20158.29,178.59,267.77,68.79,0
Turkey,2019,Dairy Products,24930.08,26461.72,127.68,95.47,44.17,1
Australia,2019,Meat & Seafood,19096.71,18273.39,128.92,481.02,62.67,0
Germany,2024,Fruits & Vegetables,38728.72,35494.63,160.46,160.58,62.81,1
Turkey,2018,Beverages,35649.51,30541.38,67.02,653.66,35.02,1
Japan,2018,Bakery Items,47890.2,49580.18,145.56,668.13,55.47,1
South Korea,2020,Bakery Items,8003.98,6499.630000000001,75.42,48.0,57.46,0
France,2018,Prepared Food,22064.87,20476.45,113.47,243.26,39.82,0
Germany,2024,Frozen Food,3513.3300000000017,4052.6699999999983,133.87,363.3,54.85,0
Canada,2023,Bakery Items,48403.15,54948.5,175.17,160.14,36.3,1
Canada,2019,Grains & Cereals,18317.53,19745.29,74.4,403.38,33.95,0
France,2024,Prepared Food,11808.79,9716.690000000002,26.98,929.6,47.29,0
Spain,2018,Prepared Food,6439.200000000001,5394.0999999999985,26.84,93.18,51.99,0
Spain,2024,Frozen Food,43174.51,44863.41,106.07,1045.29,66.83,1
Russia,2021,Dairy Products,48267.58,51264.82,36.41,330.84,57.51,1
Canada,2024,Frozen Food,29213.17,32840.66,196.08,720.28,61.88,1
Italy,2020,Frozen Food,8903.520000000002,9527.79,47.76,1394.72,38.95,0
South Korea,2022,Beverages,23262.53,25824.94,75.9,1263.71,30.63,0
Russia,2023,Fruits & Vegetables,30114.14,35677.05,48.9,609.87,49.16,1
China,2024,Bakery Items,45901.37,45831.98,85.68,1026.24,49.64,1
Spain,2019,Meat & Seafood,48620.25,50301.37,173.14,516.41,31.3,1
Argentina,2020,Grains & Cereals,32827.88,34463.61,140.44,437.66,68.53,1
Saudi Arabia,2023,Bakery Items,40840.5,38524.82,141.79,1368.67,41.5,1
Brazil,2023,Prepared Food,18777.45,20043.85,126.6,744.7,41.41,0
Italy,2023,Meat & Seafood,26903.69,24908.69,35.1,623.3,41.26,1
USA,2022,Dairy Products,25753.42,25942.47,71.51,577.14,65.23,1
Indonesia,2019,Dairy Products,27999.75,26735.28,92.09,593.34,33.81,1
China,2021,Prepared Food,12115.15,14281.97,190.82,58.01,49.03,0
Argentina,2023,Prepared Food,12372.33,12415.82,138.17,1138.27,52.01,0
South Africa,2024,Prepared Food,17657.47,18438.18,75.73,276.64,47.82,0
Germany,2019,Fruits & Vegetables,3536.8499999999985,3057.2000000000007,48.25,113.82,66.44,0
Indonesia,2023,Fruits & Vegetables,18031.41,19215.43,85.46,365.47,36.96,0
Spain,2023,Bakery Items,5790.860000000001,5547.580000000002,28.85,1214.86,45.32,0
Germany,2018,Fruits & Vegetables,13636.34,15668.2,37.1,979.09,48.46,0
Argentina,2018,Grains & Cereals,49181.19,58225.68,87.31,222.31,31.87,1
France,2023,Bakery Items,44497.57,46476.28,172.75,247.47,57.0,1
South Korea,2024,Prepared Food,30053.52,34959.69,133.09,1193.69,57.82,1
Spain,2021,Bakery Items,11568.16,9672.019999999999,97.03,1370.86,33.18,0
Japan,2020,Frozen Food,5266.260000000002,5549.689999999999,25.38,1303.24,34.66,0
Argentina,2019,Dairy Products,31877.19,35845.52,130.19,887.49,53.39,1
USA,2024,Prepared Food,4538.110000000001,4999.139999999999,26.16,932.89,61.71,0
Germany,2022,Dairy Products,6965.540000000001,6131.139999999999,174.3,84.59,31.59,0
Turkey,2019,Fruits & Vegetables,27308.53,30169.81,145.63,1217.18,62.68,1
Italy,2022,Beverages,13803.0,12865.32,185.07,957.42,66.26,0
Indonesia,2022,Fruits & Vegetables,2428.5200000000004,2418.1699999999983,52.27,70.69,61.93,0
France,2021,Beverages,2584.3899999999994,2194.8499999999985,43.57,1142.63,62.44,0
UK,2020,Fruits & Vegetables,17092.31,14508.6,109.47,834.86,57.62,0
Indonesia,2024,Frozen Food,27988.79,32506.92,60.95,543.37,56.63,1
Turkey,2018,Dairy Products,28969.0,23933.02,164.35,855.14,47.29,1
Argentina,2024,Bakery Items,46936.57,47407.6,87.18,1057.21,35.09,1
China,2021,Grains & Cereals,3242.709999999999,3746.1800000000003,160.22,966.49,39.96,0
USA,2022,Fruits & Vegetables,46965.32,54387.08,173.34,948.45,44.49,1
Spain,2024,Fruits & Vegetables,2283.0999999999985,2654.5999999999985,116.93,344.81,49.01,0
South Korea,2021,Meat & Seafood,11088.64,11899.26,194.12,67.8,69.17,0
Japan,2024,Grains & Cereals,1899.3600000000006,2058.8600000000006,49.89,955.05,55.36,0
Canada,2020,Meat & Seafood,46552.07,47859.25,52.98,1217.9,41.51,1
Japan,2024,Meat & Seafood,37391.39,39782.84,133.13,732.21,42.74,1
Brazil,2022,Bakery Items,7366.1500000000015,6829.310000000001,58.14,1384.79,46.29,0
Russia,2019,Fruits & Vegetables,23779.37,21406.66,46.56,920.09,43.06,0
Germany,2020,Beverages,10337.47,9683.93,113.35,206.67,68.49,0
Brazil,2021,Grains & Cereals,41640.33,43340.61,191.43,344.95,65.66,1
Russia,2019,Prepared Food,21968.71,22440.31,26.83,906.9,56.18,0
Indonesia,2018,Bakery Items,26762.3,31233.33,118.97,849.75,58.74,1
Saudi Arabia,2019,Beverages,43125.3,42468.9,137.49,304.73,31.72,1
Turkey,2022,Fruits & Vegetables,8983.57,7739.290000000001,190.57,146.56,53.63,0
Spain,2021,Meat & Seafood,7873.09,6701.540000000001,22.45,690.77,40.38,0
Germany,2024,Frozen Food,24319.52,28927.51,77.55,162.23,34.26,1
Italy,2021,Dairy Products,18546.11,20056.32,101.23,223.02,37.61,0
Saudi Arabia,2023,Beverages,7137.779999999999,8416.940000000002,55.96,552.89,35.4,0
Brazil,2021,Fruits & Vegetables,984.2400000000016,1145.4300000000003,66.26,250.68,58.75,0
Japan,2018,Fruits & Vegetables,6945.830000000002,7957.41,138.3,423.6,49.16,0
Mexico,2020,Grains & Cereals,26627.11,25354.01,192.78,909.69,47.93,1
South Africa,2023,Frozen Food,18189.87,16385.44,92.06,922.1,46.46,0
India,2018,Beverages,20373.65,16421.79,152.54,1319.83,38.46,0
Canada,2019,Grains & Cereals,16467.12,17287.74,27.18,445.21,49.26,0
Argentina,2019,Dairy Products,21037.73,22514.98,153.85,1030.98,36.13,0
Indonesia,2019,Meat & Seafood,36073.05,31463.71,169.16,1279.81,60.87,1
Germany,2020,Bakery Items,3079.3600000000006,3527.0,195.07,782.84,64.31,0
South Korea,2024,Prepared Food,35706.01,31406.22,162.59,1276.55,56.51,1
Canada,2023,Beverages,5754.93,4784.139999999999,79.15,313.05,63.89,0
China,2020,Beverages,13026.67,13313.56,158.25,1052.69,58.18,0
India,2020,Fruits & Vegetables,3279.1399999999994,2760.9300000000003,35.35,726.66,54.27,0
Spain,2023,Frozen Food,13016.73,15553.12,92.19,746.25,40.14,0
Spain,2019,Meat & Seafood,9304.41,8444.0,140.98,148.06,68.98,0
UK,2024,Frozen Food,20686.92,24116.77,84.96,894.16,46.65,0
Turkey,2019,Meat & Seafood,48460.2,51958.64,102.93,900.43,66.22,1
South Korea,2020,Fruits & Vegetables,39265.39,44449.77,157.66,509.82,48.73,1
South Africa,2018,Prepared Food,8152.32,7400.810000000001,138.08,1378.44,34.37,0
USA,2022,Bakery Items,22652.62,25093.08,123.3,1249.55,64.54,0
USA,2019,Prepared Food,38067.96,31816.14,35.07,341.19,51.86,1
UK,2022,Frozen Food,35280.5,35456.5,199.44,859.08,60.34,1
Japan,2018,Frozen Food,1788.0099999999984,1952.5600000000013,159.02,430.13,68.52,0
Spain,2020,Bakery Items,9646.2,9480.760000000002,116.66,138.98,63.29,0
Turkey,2022,Meat & Seafood,41263.64,35583.19,37.78,417.22,40.68,1
Russia,2022,Grains & Cereals,6234.8499999999985,7062.98,21.23,508.75,64.79,0
India,2019,Frozen Food,45354.77,41336.72,99.36,464.47,69.32,1
Spain,2019,Prepared Food,9084.03,9204.48,170.75,1145.19,69.71,0
Spain,2021,Meat & Seafood,10339.439999999999,10235.949999999999,55.67,884.98,43.93,0
Saudi Arabia,2018,Grains & Cereals,41688.48,39891.05,116.11,516.22,62.66,1
Spain,2018,Beverages,48530.06,49974.84,58.56,652.6,69.91,1
Argentina,2024,Prepared Food,22659.37,26691.89,78.15,1129.9,56.07,0
China,2020,Grains & Cereals,49413.98,43555.28,171.55,664.24,47.65,1
South Korea,2023,Grains & Cereals,27421.17,22348.6,84.8,915.98,35.38,0
Turkey,2024,Grains & Cereals,14393.52,12636.77,189.58,407.1,31.49,0
Mexico,2022,Bakery Items,16359.0,17432.88,197.08,525.36,49.28,0
Canada,2023,Meat & Seafood,8175.919999999998,8432.599999999999,34.19,294.24,30.73,0
Argentina,2023,Beverages,41797.93,40312.72,74.46,448.26,57.45,1
Spain,2019,Beverages,11452.87,9426.669999999998,146.18,175.76,61.91,0
Japan,2024,Frozen Food,28821.56,29584.17,152.78,1080.56,59.78,1
Indonesia,2019,Beverages,26800.13,30406.55,118.95,1329.37,40.47,1
South Korea,2021,Grains & Cereals,29613.99,33330.62,71.21,684.81,37.55,1
Spain,2024,Prepared Food,12524.47,10671.38,180.96,1153.44,51.93,0
Russia,2024,Fruits & Vegetables,563.8199999999997,483.7000000000007,87.46,936.48,53.48,0
Mexico,2023,Frozen Food,24218.15,20941.25,143.37,1258.71,36.81,0
China,2018,Frozen Food,23253.2,19750.56,160.16,424.13,51.44,0
Saudi Arabia,2024,Grains & Cereals,45925.08,47953.86,99.48,1383.18,60.0,1
Brazil,2023,Meat & Seafood,15173.08,12308.37,130.24,878.37,54.07,0
South Korea,2021,Prepared Food,46712.67,55490.15,46.92,680.42,43.78,1
Canada,2018,Dairy Products,48132.63,51767.74,54.74,254.66,35.77,1
Indonesia,2018,Beverages,30206.43,26359.24,92.82,99.54,38.44,1
India,2023,Frozen Food,44284.99,38861.06,51.28,908.33,55.69,1
Turkey,2022,Fruits & Vegetables,10766.12,10972.16,182.51,118.34,32.3,0
Saudi Arabia,2022,Grains & Cereals,13946.56,16195.95,29.15,384.94,52.54,0
France,2019,Bakery Items,46493.22,52602.35,57.27,233.64,61.29,1
South Korea,2024,Beverages,16128.56,14838.72,75.31,106.57,56.83,0
Russia,2022,Prepared Food,43572.95,41125.1,140.18,821.32,57.11,1
India,2023,Beverages,23087.01,27030.78,78.16,424.13,54.91,0
India,2020,Beverages,27248.63,23242.07,147.17,159.0,33.27,0
Indonesia,2022,Meat & Seafood,27393.87,28681.65,140.04,360.21,53.1,1
South Africa,2019,Fruits & Vegetables,43281.52,50252.44,185.32,81.76,52.45,1
Australia,2019,Grains & Cereals,36721.58,40889.92,63.82,956.39,39.92,1
Japan,2022,Prepared Food,3620.290000000001,3800.2999999999993,151.72,910.07,59.25,0
India,2021,Frozen Food,39092.72,40546.57,61.05,1332.14,46.3,1
Germany,2019,Meat & Seafood,7411.919999999998,6561.360000000001,157.02,1000.4,53.01,0
China,2022,Bakery Items,13434.62,15556.38,69.43,1265.99,34.42,0
Russia,2020,Prepared Food,16766.82,14111.79,87.29,1249.21,32.38,0
Australia,2018,Prepared Food,12653.2,10610.5,67.69,1173.85,69.51,0
Saudi Arabia,2024,Bakery Items,19816.91,22843.49,22.03,1125.39,60.82,0
Russia,2024,Fruits & Vegetables,48862.19,39240.6,182.57,1164.68,53.72,1
China,2021,Grains & Cereals,1104.25,1183.9500000000007,166.83,467.86,56.51,0
USA,2024,Frozen Food,36454.83,36970.89,92.61,1282.4,42.42,1
Brazil,2021,Prepared Food,44803.48,42804.14,53.62,801.62,36.29,1
UK,2021,Grains & Cereals,17602.49,20594.52,104.77,1101.1,30.96,0
Canada,2022,Grains & Cereals,37200.74,41753.73,57.46,1337.2,31.29,1
Mexico,2018,Prepared Food,28281.34,25850.04,64.67,474.26,51.14,1
Germany,2024,Frozen Food,33695.26,38272.43,152.54,1396.52,68.04,1
Mexico,2018,Frozen Food,31139.18,35388.31,74.88,355.39,41.01,1
UK,2023,Frozen Food,40742.24,41870.59,130.91,269.85,32.64,1
Saudi Arabia,2023,Bakery Items,48092.85,49579.36,177.78,902.87,51.75,1
Saudi Arabia,2019,Grains & Cereals,35115.79,34821.66,93.46,630.41,40.4,1
South Africa,2022,Beverages,37881.41,38285.5,75.96,693.08,52.16,1
Canada,2023,Dairy Products,3006.1899999999987,3128.9399999999987,192.61,989.04,49.17,0
USA,2019,Dairy Products,31107.05,31908.1,27.68,824.31,50.97,1
Mexico,2023,Fruits & Vegetables,7025.549999999999,5854.360000000001,154.08,633.21,60.45,0
France,2021,Frozen Food,41055.24,46163.54,62.8,263.23,65.28,1
Russia,2021,Prepared Food,40760.94,44617.65,112.68,753.08,66.46,1
Japan,2020,Fruits & Vegetables,27461.24,32352.81,196.66,1067.42,68.78,1
India,2022,Dairy Products,39749.49,36414.43,103.6,556.56,40.84,1
Argentina,2021,Fruits & Vegetables,29875.75,31760.8,43.69,85.71,53.01,1
Turkey,2018,Grains & Cereals,48194.34,52444.24,63.53,869.55,60.76,1
China,2020,Fruits & Vegetables,4877.080000000002,4588.330000000002,55.31,282.97,36.98,0
South Korea,2018,Frozen Food,15863.51,13642.08,176.76,265.59,36.8,0
Canada,2021,Dairy Products,16562.57,19826.28,196.6,1273.65,63.82,0
Argentina,2021,Grains & Cereals,39645.51,41360.79,48.33,874.89,36.69,1
Spain,2024,Frozen Food,38121.7,40311.64,198.79,604.01,68.25,1
Spain,2022,Dairy Products,22076.13,23085.51,146.49,500.08,69.31,0
Canada,2018,Grains & Cereals,27125.92,23214.43,196.38,721.51,51.72,0
UK,2023,Frozen Food,43341.18,50022.11,134.44,845.7,35.4,1
China,2022,Bakery Items,17883.92,20562.78,70.73,493.07,61.99,0
Mexico,2023,Dairy Products,17959.47,17095.59,196.54,286.94,56.39,0
South Korea,2022,Frozen Food,44421.56,52735.74,49.55,289.01,67.15,1
Italy,2024,Bakery Items,30882.6,27595.88,97.22,250.83,56.52,1
Mexico,2023,Bakery Items,47661.94,40313.2,147.01,173.82,57.07,1
Saudi Arabia,2021,Beverages,38589.78,41102.41,53.93,1136.34,35.15,1
South Korea,2019,Bakery Items,16133.77,17173.33,28.34,1334.08,46.28,0
India,2022,Prepared Food,16898.09,18118.42,169.95,151.66,63.02,0
France,2024,Prepared Food,41760.67,39426.82,176.93,681.6,56.6,1
UK,2018,Beverages,15294.75,12948.79,139.72,321.28,59.1,0
UK,2022,Grains & Cereals,46158.97,41857.98,86.73,661.77,68.1,1
Australia,2024,Bakery Items,45135.33,41771.59,173.04,1306.91,38.21,1
France,2024,Dairy Products,46191.21,42204.85,88.13,1011.99,58.09,1
Indonesia,2022,Beverages,39179.76,41903.84,20.53,853.93,55.68,1
Russia,2024,Grains & Cereals,26250.32,25541.43,116.24,536.73,42.45,1
Italy,2018,Meat & Seafood,14971.0,14851.57,41.03,471.21,51.94,0
Italy,2023,Bakery Items,30733.72,33769.58,120.73,1189.92,61.7,1
Indonesia,2020,Frozen Food,12872.9,14389.09,51.67,482.92,32.04,0
Canada,2024,Meat & Seafood,4882.010000000002,4313.830000000002,180.47,1137.07,43.28,0
Mexico,2022,Frozen Food,10530.07,9172.97,136.9,511.7,55.72,0
India,2019,Frozen Food,41436.19,47060.96,60.12,656.08,65.07,1
China,2023,Beverages,48055.47,55114.23999999999,187.57,499.69,63.2,1
Italy,2019,Prepared Food,30533.92,35859.64,84.32,523.85,36.06,1
China,2020,Frozen Food,23132.37,22896.66,73.54,545.84,65.67,0
China,2023,Meat & Seafood,8890.9,9996.09,151.08,523.31,58.67,0
South Korea,2021,Fruits & Vegetables,24188.93,24435.03,143.67,303.25,37.61,0
India,2018,Dairy Products,16990.14,17413.05,85.81,644.92,69.58,0
UK,2024,Bakery Items,6558.3499999999985,5615.489999999998,57.99,1049.71,56.6,0
Italy,2023,Dairy Products,37860.05,41876.1,27.72,631.05,65.08,1
Mexico,2022,Dairy Products,2835.6100000000006,2322.239999999998,64.81,1090.54,39.7,0
Germany,2021,Meat & Seafood,40465.31,36708.0,175.49,1316.85,69.86,1
Germany,2021,Frozen Food,45273.31,41425.0,140.42,1230.11,62.18,1
Brazil,2019,Fruits & Vegetables,12175.41,12256.12,117.2,460.97,69.4,0
France,2020,Prepared Food,44669.12,48458.67,79.45,26.65,54.77,1
Canada,2023,Grains & Cereals,15877.32,17233.58,84.86,46.27,33.7,0
USA,2024,Frozen Food,6575.91,6249.360000000001,118.44,635.65,63.01,0
Russia,2023,Beverages,28516.52,26477.35,110.39,1151.44,43.3,1
South Korea,2024,Beverages,2971.470000000001,3030.5999999999985,39.05,352.07,45.35,0
Brazil,2020,Prepared Food,40147.89,33275.99,151.63,856.99,60.92,1
South Africa,2023,Beverages,24558.37,28500.24,140.45,576.19,58.53,1
Spain,2020,Fruits & Vegetables,1089.4599999999991,1083.9300000000003,78.59,412.57,46.61,0
South Africa,2024,Prepared Food,13227.42,14726.89,179.67,16.93,41.71,0
China,2023,Meat & Seafood,19338.41,20365.97,190.1,424.67,31.52,0
China,2021,Meat & Seafood,4036.489999999998,3560.0800000000017,88.34,279.31,68.76,0
Russia,2023,Grains & Cereals,1207.369999999999,1390.4099999999999,128.87,1061.17,67.48,0
Italy,2020,Grains & Cereals,23225.05,26503.44,52.02,493.99,46.13,0
Italy,2024,Fruits & Vegetables,2474.8300000000017,2663.130000000001,91.22,1382.17,58.15,0
USA,2019,Dairy Products,40559.42,44726.11,179.04,565.32,30.8,1
Russia,2023,Meat & Seafood,4618.68,5138.080000000002,69.78,280.37,53.06,0
India,2023,Beverages,1634.4500000000007,1960.9700000000012,71.68,23.17,54.52,0
France,2023,Beverages,45126.17,49357.92,156.41,1162.42,33.92,1
Spain,2021,Meat & Seafood,45374.16,46143.9,182.49,1199.9,64.61,1
Argentina,2020,Beverages,48449.26,47672.6,136.74,331.37,51.84,1
Spain,2024,Prepared Food,1732.3100000000013,1610.7599999999984,195.49,684.97,66.98,0
Indonesia,2024,Dairy Products,18682.94,16863.27,69.9,1362.25,67.05,0
Germany,2021,Dairy Products,13763.66,13534.15,159.82,1279.45,59.98,0
Turkey,2021,Fruits & Vegetables,21211.62,22934.32,23.56,462.99,52.05,0
Spain,2021,Meat & Seafood,34559.81,30645.51,160.72,744.61,41.14,1
France,2020,Dairy Products,6103.1500000000015,5286.27,105.48,998.77,44.34,0
France,2021,Grains & Cereals,3737.959999999999,4130.639999999999,149.56,198.66,34.87,0
UK,2024,Bakery Items,46857.01,53113.51,114.12,518.64,36.55,1
China,2023,Prepared Food,4611.939999999999,4929.34,41.21,53.58,58.18,0
Turkey,2020,Beverages,43480.95,38449.02,165.29,734.49,38.91,1
Turkey,2020,Bakery Items,42834.82,34838.16,92.86,234.89,43.7,1
Indonesia,2023,Prepared Food,49816.86,41239.85,134.88,1382.02,67.85,1
Turkey,2024,Prepared Food,11404.52,11204.75,75.84,326.42,34.57,0
Canada,2021,Grains & Cereals,46798.57,37623.18,131.37,1307.11,41.68,1
Mexico,2021,Prepared Food,20641.74,21083.59,75.79,1293.17,61.35,0
South Africa,2018,Dairy Products,47627.36,42337.22,92.55,131.9,61.23,1
South Africa,2021,Grains & Cereals,47689.02,56242.94,167.89,427.78,48.17,1
South Korea,2023,Prepared Food,1498.5999999999985,1441.4500000000007,179.65,79.16,62.74,0
Argentina,2018,Prepared Food,1658.5,1792.4399999999987,38.86,561.39,49.43,0
Saudi Arabia,2020,Meat & Seafood,28148.0,30663.05,167.89,961.56,69.39,1
France,2024,Fruits & Vegetables,24659.88,23758.67,62.68,1397.01,59.92,0
Spain,2021,Bakery Items,4299.290000000001,3674.239999999998,29.92,1201.14,38.42,0
Canada,2019,Fruits & Vegetables,17578.48,17978.29,92.23,492.46,51.28,0
Indonesia,2022,Fruits & Vegetables,19354.4,20751.86,64.75,1049.56,35.73,0
South Africa,2021,Grains & Cereals,30790.19,29014.13,152.14,1212.42,48.75,1
France,2023,Bakery Items,13901.18,11299.59,64.06,21.9,66.77,0
Japan,2020,Bakery Items,11071.57,12338.73,142.21,52.39,43.07,0
Italy,2024,Beverages,7032.209999999999,8297.39,196.12,603.96,57.14,0
Italy,2024,Fruits & Vegetables,8065.540000000001,9121.860000000002,33.12,292.34,65.14,0
Indonesia,2022,Frozen Food,43637.05,38890.96,79.13,524.46,66.53,1
UK,2020,Frozen Food,41058.24,38421.44,63.99,293.55,69.29,1
India,2018,Grains & Cereals,22078.21,20545.65,120.17,835.93,66.34,0
Russia,2023,Fruits & Vegetables,28458.05,32053.14,111.9,1023.31,43.09,1
Saudi Arabia,2019,Grains & Cereals,41000.87,47408.27,61.27,792.47,35.96,1
Japan,2024,Prepared Food,7236.25,5985.8499999999985,112.63,41.66,37.49,0
South Africa,2019,Bakery Items,19679.23,23414.64,152.57,771.08,68.32,0
Saudi Arabia,2024,Fruits & Vegetables,35483.41,33462.87,188.4,802.52,31.58,1
South Africa,2024,Bakery Items,34795.8,36643.27,90.7,922.21,67.29,1
Mexico,2021,Fruits & Vegetables,41413.4,46444.54,192.43,25.16,34.47,1
South Korea,2018,Bakery Items,29213.9,30961.95,118.87,26.11,32.13,1
Australia,2023,Fruits & Vegetables,13010.89,13474.49,187.25,466.68,53.45,0
Australia,2021,Grains & Cereals,4140.110000000001,3741.7299999999996,170.14,1050.12,34.98,0
South Korea,2024,Dairy Products,17681.37,18549.68,141.22,402.52,46.95,0
France,2022,Fruits & Vegetables,46668.91,47669.01,109.29,647.0,51.51,1
USA,2022,Frozen Food,35232.72,40282.97,103.69,682.19,43.94,1
China,2023,Meat & Seafood,32497.32,33166.68,155.52,99.24,44.86,1
China,2020,Meat & Seafood,40408.04,46888.38,189.14,654.22,37.2,1
Russia,2023,Meat & Seafood,22245.81,24544.51,153.27,1030.64,32.55,0
Spain,2022,Dairy Products,34661.41,41175.81,199.19,729.14,54.28,1
Turkey,2023,Beverages,4747.330000000002,5287.709999999999,117.05,264.62,59.6,0
India,2021,Beverages,34123.97,35563.1,124.01,545.6,56.69,1
USA,2021,Dairy Products,26651.27,22800.42,195.03,1370.22,68.1,0
Argentina,2018,Grains & Cereals,35830.12,33509.64,125.51,442.34,52.97,1
Italy,2020,Frozen Food,43604.76,41061.79,118.91,221.35,57.77,1
Spain,2019,Beverages,28426.63,25882.46,167.06,171.49,54.46,1
Italy,2022,Dairy Products,23421.47,24931.67,158.37,560.84,66.88,0
Japan,2023,Meat & Seafood,27099.72,28239.68,155.83,20.78,40.5,1
Saudi Arabia,2024,Bakery Items,39581.84,41930.82,104.09,342.77,36.49,1
Brazil,2018,Fruits & Vegetables,26144.5,22131.69,171.23,644.98,57.72,0
Brazil,2019,Grains & Cereals,17126.74,17098.43,40.51,1331.19,61.84,0
USA,2023,Frozen Food,41112.98,38944.29,125.91,1118.7,48.87,1
Australia,2023,Fruits & Vegetables,34771.88,39746.31,108.15,531.36,53.2,1
Germany,2020,Beverages,30532.53,35225.48,101.96,1397.4,47.98,1
Brazil,2018,Bakery Items,33302.91,34775.16,96.53,319.81,55.9,1
Saudi Arabia,2023,Grains & Cereals,44376.96,38365.99,126.78,1395.67,33.04,1
UK,2019,Bakery Items,19157.25,22447.11,26.79,732.64,48.87,0
Turkey,2020,Meat & Seafood,19420.74,18180.97,164.89,553.1,67.48,0
Japan,2024,Prepared Food,26996.77,22247.24,141.2,195.3,63.68,0
Brazil,2021,Frozen Food,23230.45,24063.57,103.26,13.57,43.33,0
China,2022,Bakery Items,11941.14,10013.69,157.15,1387.28,45.86,0
Saudi Arabia,2021,Meat & Seafood,36620.6,33044.67,51.01,50.26,37.92,1
Russia,2020,Prepared Food,39904.73,42100.71,185.89,137.46,61.12,1
Italy,2021,Frozen Food,18677.97,18778.26,67.16,1317.71,30.24,0
Canada,2020,Fruits & Vegetables,27775.14,27873.1,167.13,1285.73,47.56,1
Argentina,2023,Frozen Food,39575.31,33679.46,156.9,820.08,58.06,1
South Korea,2024,Frozen Food,44477.01,51554.51,135.69,634.67,47.85,1
Turkey,2021,Beverages,45531.69,53905.44,168.79,408.45,41.96,1
Russia,2024,Prepared Food,19136.57,15632.33,36.34,726.02,60.73,0
UK,2019,Beverages,39366.23,31790.73,162.82,910.67,35.24,1
Argentina,2019,Fruits & Vegetables,42224.31,48288.33,29.15,989.16,32.17,1
France,2018,Beverages,11747.58,11927.44,31.53,429.29,34.67,0
Brazil,2022,Prepared Food,32541.66,31769.86,181.61,958.99,66.05,1
Saudi Arabia,2024,Dairy Products,10346.330000000002,8873.459999999997,178.04,174.47,46.91,0
Mexico,2024,Fruits & Vegetables,11663.37,9373.54,27.2,1132.72,47.42,0
China,2019,Prepared Food,36775.28,42989.16,35.16,766.59,55.84,1
Russia,2023,Grains & Cereals,47754.5,43538.98,84.26,724.99,57.5,1
Spain,2019,Prepared Food,49597.08,51503.85,53.87,1203.63,38.63,1
South Korea,2019,Prepared Food,9854.36,9751.730000000001,121.65,1333.26,34.66,0
South Africa,2021,Frozen Food,32026.66,37170.93,66.35,1253.91,51.57,1
Saudi Arabia,2019,Dairy Products,42268.39,47258.56,22.83,1347.24,41.61,1
Japan,2018,Prepared Food,4432.119999999999,4843.8499999999985,48.24,979.69,60.76,0
Mexico,2024,Dairy Products,46335.1,44293.66,68.29,878.73,66.64,1
Australia,2023,Fruits & Vegetables,32008.19,37944.81,96.91,293.21,40.81,1
UK,2020,Grains & Cereals,12158.17,12654.12,88.35,854.64,69.76,0
